"","X2019_12_18_14_35_Q.Exactive.HF.X.Orbitrap_6070","X2019_12_19_19_48_Q.Exactive.HF.X.Orbitrap_6070","X2019_12_20_14_15_Q.Exactive.HF.X.Orbitrap_6070","X2019_12_27_12_29_Q.Exactive.HF.X.Orbitrap_6070","X2019_12_29_15_06_Q.Exactive.HF.X.Orbitrap_6070","X2019_12_29_18_18_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_02_17_38_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_03_11_17_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_03_16_58_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_03_20_10_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_04_04_23_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_04_10_03_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_04_14_59_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_06_20_17_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_08_16_43_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_09_11_07_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_15_13_56_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_20_15_10_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_05_20_55_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_10_15_41_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_11_10_35_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_12_05_06_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_13_00_26_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_13_03_11_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_17_13_55_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_18_01_25_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_18_18_55_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_28_12_27_Q.Exactive.HF.X.Orbitrap_6070","X2020_03_01_23_00_Q.Exactive.HF.X.Orbitrap_6070","X2020_03_06_16_22_Q.Exactive.HF.X.Orbitrap_6070","X2020_03_07_18_15_Q.Exactive.HF.X.Orbitrap_6070","X2020_03_11_11_25_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_04_11_39_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_12_15_13_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_12_18_10_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_12_21_07_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_14_14_46_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_14_17_28_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_14_20_11_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_15_10_30_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_20_12_33_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_20_15_35_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_22_14_57_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_22_17_43_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_26_14_20_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_27_13_57_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_28_04_06_Q.Exactive.HF.X.Orbitrap_6070","X2020_06_01_10_22_Q.Exactive.HF.X.Orbitrap_6070","X2020_06_01_15_41_Q.Exactive.HF.X.Orbitrap_6070","X2020_06_02_09_41_Q.Exactive.HF.X.Orbitrap_6070"
"CUL4A",29.7896117482427,29.3889289262729,30.4380745135543,29.5434417612698,30.5419475145895,31.6084512403374,28.2593906410159,30.2494333677161,31.2752539771078,31.3240469981899,31.4172469606097,26.4450908972076,29.4566978205281,31.9089916102332,30.2648357521251,30.548484931903,28.9726527184227,31.2780823024898,31.6475305595793,31.2033817234385,30.6187692639761,30.9562927085425,31.1333861859921,31.2281980436097,30.1303819114314,29.8312426992139,29.9406973588634,29.5404701947386,29.4583220916165,29.8410866836208,30.8870005306265,30.0481724521984,28.4990303562392,29.4165122703948,28.3134575527802,29.0449200610809,28.9138206477469,29.117360798073,29.0122262326694,30.0994884348761,29.3280235079282,29.3791890890393,29.5777492312499,30.0903044720561,30.1860067175914,31.4764847183389,31.948481295439,30.4199108468567,31.322436128169,30.4990493704672
"CUL4B",27.0075289825676,26.5169668183594,28.10948636152,27.4999807607855,30.9274063695515,30.5655627684554,29.1338393495109,28.8433500172747,29.4871546845159,29.7833332242384,30.4726651846737,29.4052540277314,28.0858803807607,30.6552295137342,28.3768731670201,28.8119786046177,26.0896429852884,31.3499482886891,30.5009495288465,29.4756249966611,29.0971288336012,29.596175848147,29.5084496735552,29.8135543091523,28.5270871484195,28.7433927805662,27.9672474587634,26.6615291303422,26.5307970845768,28.3177759678846,29.1959173326753,27.5941301405152,27.2763083151272,26.8835526032776,26.1795530301323,26.3153074169542,26.7671137348329,26.475203642598,27.0289686766416,28.3984811333465,26.8284458548104,28.0421301779676,27.2452679134114,28.4239425448211,28.8936548191748,29.8961982360448,29.8983623872195,28.307216237816,29.6164924761856,28.438530645275
"CUL5",24.8020812500421,25.5410871597355,25.7878571365797,25.4852362578072,NA,NA,NA,24.7735416882514,NA,NA,NA,NA,23.3815260529522,25.4627940543778,NA,NA,NA,26.1578458794768,NA,26.9065566813161,27.0981836005066,27.1098848410256,27.4021054344168,27.5060485686509,26.583624772931,26.3187759955602,26.6145631530059,25.4361254054802,30.3209848057006,NA,23.5417961588689,25.867641096631,24.4240627210036,24.1923470012176,22.5577039487742,24.1925727574251,24.1354744533472,24.7562855148988,24.3494210842101,26.05086248833,24.4924669055807,25.387421804735,25.5520963324442,24.402300643813,25.055234765778,28.3847980416908,27.9372492534198,NA,NA,25.6514364976685
"CUTA",28.7753954263495,28.6753595230728,29.3743876895497,NA,29.7743117500558,29.7058120455231,27.9930747762596,29.803627768356,28.5444002156965,29.1387781649542,28.7836298486033,26.2608895357642,26.6186292576641,30.2838327425825,28.5514950597946,28.9614355189561,27.2797655724021,30.3188320110896,30.4535615257258,30.2434303885219,29.9052659356295,30.2191655286535,30.3874094784506,30.4192076566965,29.6402386465574,29.3920039872054,29.0045586286402,28.2716411931553,27.8148839046252,27.4711151495626,28.4751031179437,28.9223249320788,27.2141010418991,27.7055648944353,27.4095696251621,27.1172369286278,27.7517475317394,28.0694306729856,27.9338772873156,31.4760983899574,27.7160071164882,28.1183761265564,25.4348536921968,28.6438892100658,30.0718871086812,30.7721891566367,30.9632697720645,27.7905441836162,28.4812377400507,30.018633553779
"CUTC",26.5215417351179,26.70898828484,27.2329733068887,24.9966238168035,26.70898828484,26.8949270881032,NA,NA,26.2364628673569,27.1418989828621,27.263918469698,NA,NA,27.6796943152581,24.6137485550698,25.270028640984,25.8398530965138,27.7630658372796,NA,27.7695748646905,27.1991043673929,27.7135839043284,28.3317649113508,26.4824076842355,27.1958234896961,27.3293715311867,27.3790651159896,26.8327975147057,26.5129047506766,NA,26.5372554946131,26.1029355449404,25.4974094230847,25.7420373802646,25.3477665204308,25.1314764369822,25.6429808765654,25.9416098670831,26.1346326552684,26.4841300850347,26.1624056203544,27.1076918404721,27.067226558693,26.8292930395406,28.1355527351802,28.3896470269673,29.104496058928,25.9179339929738,26.925922006183,26.8362934977146
"CUX1",NA,NA,NA,22.5989611699913,25.9436902420364,27.606396401511,NA,25.9638237267515,27.4781543983323,26.8528144579098,27.7894873779804,NA,23.2622703712776,27.7565273098527,26.5120005136608,NA,NA,28.6176138053647,27.5835530452337,24.483945640419,NA,NA,NA,NA,NA,25.2681019074482,NA,22.2772488001105,NA,25.2060911595751,27.1298662641843,NA,22.0022670130345,23.8563335760151,NA,24.7894998154891,NA,NA,21.7821279899469,25.5702506436498,NA,NA,NA,NA,25.7563873282398,NA,26.3182933101233,25.8688187877062,27.0932547439082,NA
"CWC15",25.0148244943213,27.3781556546311,26.2054760371607,26.6706065484416,26.7261144023462,NA,23.9979161297867,NA,26.1155909331587,26.3046251056643,27.6840495737805,NA,NA,26.6856543515221,24.9349459295265,25.2347648163119,25.4610459761344,27.7440667946577,27.339685977316,26.0948861482787,26.5631094366657,26.1358462542292,25.5938310463298,26.043497112591,27.4970895873912,27.0394656309888,NA,27.3711917068813,26.5368851036438,NA,NA,25.2677091090236,23.8508132953406,25.5766361142353,25.4460064831535,25.3957793876663,24.996494521814,NA,25.6940768487093,27.2662440992588,24.8983220194506,25.6697689425548,26.7992179753419,25.7046945856289,26.8612412309035,29.3851067253989,27.2567390817002,25.2570989008917,26.04111718506,27.0600269534711
"CWC22",25.9689727566753,26.0730831062965,26.0559794252943,24.7743965888705,26.7420116731693,26.7863123083197,NA,23.0745374113896,NA,NA,25.3247101538168,24.0441853068863,NA,26.3197753305303,25.1716538812686,NA,23.7261923767298,27.1119750546348,26.9834844071693,27.073573485309,26.9608005724588,26.4774442966468,27.5803216023137,27.2386327315795,25.1734087528888,25.5962789461677,NA,25.3766330910676,25.9260577828563,22.9790371598321,25.2144901807017,25.8994057903804,25.9941004720418,25.1284116371481,23.6655736030442,24.7011287542011,24.3770966501033,23.5337403600776,24.7987237324317,25.6393970186628,23.9932583753997,25.249415283052,25.2377943474348,26.0503228061319,27.1614448484483,28.5859897885546,28.7151234430425,NA,25.6870704218842,25.6640277274495
"CWC27",26.7532787843588,27.0000244213297,27.5307375625436,26.3446548571975,28.0761248513064,27.9314558543711,24.1645362498558,26.884833808339,26.8944645746614,27.2552088481645,27.6455392617602,23.52169148704,24.4976530598396,27.7997737963016,26.0412425423306,26.4124637632994,26.2321682315101,28.4006812335246,28.3796848747336,28.3662384927468,28.8514449142553,28.9149612534441,29.3446252303318,29.595962518504,27.7296839053817,27.2818005907359,27.184517782723,27.3276595397185,26.8792347261202,26.0330925889703,27.5083930006017,27.8570339969891,26.2204992231175,25.1386805305319,26.1343193026485,25.9433325416587,26.0819251495325,26.6282579588618,26.7951353986477,27.6953784766045,26.4330395617042,26.8730270577509,28.1382899267551,27.04541489732,26.8035353935041,28.8516236241311,29.8422862430442,26.1873147663477,27.1750282067018,28.2372655504043
"CWF19L1",27.3049557774848,27.2564691584014,26.6831126284133,26.4966630294727,25.7407000035377,27.4937346584548,23.30924762833,NA,26.1649006370107,25.6841566145167,26.495275844582,NA,NA,26.5037912917811,24.0147819375732,26.4574651740407,26.4250237702504,26.9301025876034,27.7033881372225,28.4728588220193,28.0238500180792,27.4418975888147,29.1583660716007,29.5331536707452,27.7274783459867,26.6863224824287,27.9205940099556,27.6596251207736,27.0267545792392,23.8416296078128,26.7844413509302,27.5394166806688,25.6495191126728,25.9992718136973,24.992480618912,25.9193669192155,26.6495191126728,26.5229787123063,26.5084383391426,27.5228290939457,26.2378854997502,27.2439070086402,27.2503373120069,27.5908509627085,27.6355413351163,29.2175024528046,30.0897995477213,25.9646391137559,27.4572459718245,28.2002275243518
"CXADR",26.3276424095404,26.604135345053,27.5189335602606,26.1587512782089,26.6389277014051,27.5971887333906,22.9847494315803,23.6097531805844,NA,NA,NA,NA,24.8155803069077,25.7269459119117,26.2375208559284,26.2825961215203,27.2200194197022,28.3302695141093,26.5466758359001,28.8139059305737,28.7892386052866,28.3699445997232,28.8157390884326,28.6882916677621,27.1096856150306,27.946091244497,27.3091261725576,27.1711193659378,27.1156504596944,25.9426839835876,26.2783127607091,27.7574813681092,26.7229919661935,26.6066787845694,26.6493820590422,26.4571050385247,26.8601757686331,26.6364405337805,26.5863477862837,27.2897362270309,26.0958922679363,26.8990830501251,25.9554892179429,27.3968900829047,28.0960230119702,28.8640786227041,29.5078450472441,NA,24.2891205739423,28.0230568490885
"CXCR4",NA,NA,NA,NA,27.2031249725265,26.9868510048254,NA,NA,NA,26.4636361216132,26.4636049427009,NA,NA,NA,NA,NA,NA,27.5575695742043,25.5029723455681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7817178932851,25.6520112166081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8753727131589,26.5561227944471,NA
"CXorf56",24.0530813655812,23.9916159529941,26.5129650129981,24.0634872481867,24.0911977551454,26.0012062978024,NA,NA,25.4261761849178,26.2981355837763,26.564243939675,NA,22.884386680556,25.340653961218,22.8798890731872,NA,25.4152876263604,27.4349173044917,26.804889632239,26.2972086210268,26.8449367290039,26.8320731489796,27.51178944345,26.0515056918249,26.1243348060202,26.8367750381199,26.0089397641344,25.4728975463698,25.7647622767941,NA,25.2048606523644,26.1649389882001,25.3336085240731,25.198504992627,24.9094895481738,24.3077200115487,24.8924045898955,24.2035170827962,24.4190549186727,26.9146761865497,25.3005114837291,25.9498466543485,25.6987466274434,26.7576085282204,26.3878983403209,27.7367320228198,28.3771628606654,NA,NA,26.0592431154805
